,Unnamed: 0,Participant_unique_ID,correct_keyboard_response,correct_response,flanker_condition,response_keyboard_response,response_time_keyboard_response,stimulus,Latin_square_group,target_type
24458,24458,59,1,C,3,c,559,weil dous weil dous weil weil weil,4,nonword
24459,24459,59,1,C,4,c,507,doms doms vleg vleg doms doms doms,4,nonword
24460,24460,59,0,M,7,c,333,zone zone zone buit zone zone buit,4,word
24461,24461,59,0,C,2,m,660,zame tust tust zame tust tust tust,4,nonword
24462,24462,59,1,C,7,c,509,noks noks noks frel noks noks frel,4,nonword
24463,24463,59,1,M,5,m,413,baan baan baan kort kort baan baan,4,word
24464,24464,59,1,C,1,c,510,zous zous zous vral zous zous zous,4,nonword
24465,24465,59,1,M,6,m,542,nauw nauw nauw pijp nauw pijp nauw,4,word
24466,24466,59,0,C,3,m,334,oomt luil oomt luil oomt oomt oomt,4,nonword
24467,24467,59,1,C,7,c,637,miks miks miks peng miks miks peng,4,nonword
24468,24468,59,1,C,4,c,560,dijf dijf zeus zeus dijf dijf dijf,4,nonword
24469,24469,59,1,C,6,c,526,dauk dauk dauk lors dauk lors dauk,4,nonword
24470,24470,59,0,C,5,m,700,vins vins vins talt talt vins vins,4,nonword
24471,24471,59,0,C,6,m,465,hons hons hons teuk hons teuk hons,4,nonword
24472,24472,59,1,M,3,m,566,knul erom knul erom knul knul knul,4,word
24473,24473,59,1,C,2,c,480,alde nouw nouw alde nouw nouw nouw,4,nonword
24474,24474,59,1,C,4,c,788,kwat kwat rens rens kwat kwat kwat,4,nonword
24475,24475,59,0,M,1,c,549,snap snap snap doel snap snap snap,4,word
24476,24476,59,1,C,6,c,447,luva luva luva weik luva weik luva,4,nonword
24477,24477,59,1,C,7,c,649,wink wink wink doro wink wink doro,4,nonword
24478,24478,59,1,C,7,c,569,tool tool tool zaas tool tool zaas,4,nonword
24479,24479,59,0,M,5,c,400,vaak vaak vaak zeer zeer vaak vaak,4,word
24480,24480,59,0,M,2,c,562,late jood jood late jood jood jood,4,word
24481,24481,59,1,M,1,m,631,kilo kilo kilo vers kilo kilo kilo,4,word
24482,24482,59,1,M,6,m,456,fris fris fris luxe fris luxe fris,4,word
24483,24483,59,1,M,2,m,392,film zoek zoek film zoek zoek zoek,4,word
24484,24484,59,1,M,6,m,479,ramp ramp ramp hete ramp hete ramp,4,word
24485,24485,59,0,M,7,c,458,golf golf golf kaas golf golf kaas,4,word
24486,24486,59,0,C,5,m,389,jijk jijk jijk enes enes jijk jijk,4,nonword
24487,24487,59,0,C,5,m,505,apos apos apos teet teet apos apos,4,nonword
24488,24488,59,1,M,2,m,685,zulk riem riem zulk riem riem riem,4,word
24489,24489,59,1,M,7,m,464,smal smal smal puin smal smal puin,4,word
24490,24490,59,1,M,2,m,542,leid joch joch leid joch joch joch,4,word
24491,24491,59,1,M,3,m,429,laag dier laag dier laag laag laag,4,word
24492,24492,59,1,C,6,c,587,spim spim spim dand spim dand spim,4,nonword
24493,24493,59,1,C,1,c,551,kund kund kund stei kund kund kund,4,nonword
24494,24494,59,1,C,6,c,530,foba foba foba sune foba sune foba,4,nonword
24495,24495,59,0,C,6,m,460,keme keme keme trop keme trop keme,4,nonword
24496,24496,59,1,M,5,m,407,ding ding ding wees wees ding ding,4,word
24497,24497,59,1,M,5,m,480,ezel ezel ezel muis muis ezel ezel,4,word
24498,24498,59,1,C,2,c,470,sugo nale nale sugo nale nale nale,4,nonword
24499,24499,59,1,C,4,c,533,coho coho kelg kelg coho coho coho,4,nonword
24500,24500,59,0,C,2,m,461,lote krad krad lote krad krad krad,4,nonword
24501,24501,59,0,C,3,m,630,dast rome dast rome dast dast dast,4,nonword
24502,24502,59,1,M,7,m,497,zorg zorg zorg stel zorg zorg stel,4,word
24503,24503,59,1,C,5,c,596,kurt kurt kurt pode pode kurt kurt,4,nonword
24504,24504,59,1,C,2,c,496,tiek lool lool tiek lool lool lool,4,nonword
24505,24505,59,1,C,4,c,583,ilde ilde sont sont ilde ilde ilde,4,nonword
24506,24506,59,1,C,7,c,593,boal boal boal meis boal boal meis,4,nonword
24507,24507,59,0,C,5,m,474,caks caks caks vieg vieg caks caks,4,nonword
24508,24508,59,1,C,6,c,485,wais wais wais voen wais voen wais,4,nonword
24509,24509,59,1,M,2,m,533,wilt ogen ogen wilt ogen ogen ogen,4,word
24510,24510,59,1,M,1,m,416,liep liep liep kans liep liep liep,4,word
24511,24511,59,1,C,6,c,533,oyer oyer oyer spap oyer spap oyer,4,nonword
24512,24512,59,1,M,3,m,484,taxi lege taxi lege taxi taxi taxi,4,word
24513,24513,59,1,M,7,m,529,huil huil huil roem huil huil roem,4,word
24514,24514,59,1,M,6,m,389,juli juli juli test juli test juli,4,word
24515,24515,59,0,C,6,m,630,tate tate tate bild tate bild tate,4,nonword
24516,24516,59,0,C,3,m,440,brop keuk brop keuk brop brop brop,4,nonword
24517,24517,59,1,M,3,m,609,rock bijl rock bijl rock rock rock,4,word
24518,24518,59,1,M,4,m,453,dode dode ruim ruim dode dode dode,4,word
24519,24519,59,1,C,5,c,551,muif muif muif sner sner muif muif,4,nonword
24520,24520,59,1,C,1,c,442,spuk spuk spuk miot spuk spuk spuk,4,nonword
24521,24521,59,1,C,5,c,480,poor poor poor namu namu poor poor,4,nonword
24522,24522,59,1,C,1,c,414,wors wors wors cini wors wors wors,4,nonword
24523,24523,59,1,M,1,m,461,paal paal paal oven paal paal paal,4,word
24524,24524,59,1,M,6,m,452,jong jong jong mate jong mate jong,4,word
24525,24525,59,1,C,7,c,531,wrag wrag wrag olen wrag wrag olen,4,nonword
24526,24526,59,1,C,2,c,405,sfee maad maad sfee maad maad maad,4,nonword
24527,24527,59,1,M,5,m,473,boot boot boot enig enig boot boot,4,word
24528,24528,59,1,C,2,c,474,noer buft buft noer buft buft buft,4,nonword
24529,24529,59,0,M,2,c,535,zeep okay okay zeep okay okay okay,4,word
24530,24530,59,1,C,3,c,840,peek lago peek lago peek peek peek,4,nonword
24531,24531,59,0,M,5,c,758,fort fort fort high high fort fort,4,word
24532,24532,59,1,M,5,m,545,toon toon toon kalm kalm toon toon,4,word
24533,24533,59,1,C,7,c,732,mang mang mang stef mang mang stef,4,nonword
24534,24534,59,1,M,4,m,736,koor koor bijt bijt koor koor koor,4,word
24535,24535,59,1,C,1,c,591,meep meep meep saal meep meep meep,4,nonword
24536,24536,59,1,M,3,m,726,maat oren maat oren maat maat maat,4,word
24537,24537,59,1,C,1,c,512,tijn tijn tijn ceda tijn tijn tijn,4,nonword
24538,24538,59,1,M,7,m,517,klas klas klas geur klas klas geur,4,word
24539,24539,59,1,C,1,c,483,reur reur reur vits reur reur reur,4,nonword
24540,24540,59,1,M,6,m,421,raak raak raak lees raak lees raak,4,word
24541,24541,59,1,M,2,m,464,dans trut trut dans trut trut trut,4,word
24542,24542,59,1,C,6,c,502,kijn kijn kijn abte kijn abte kijn,4,nonword
24543,24543,59,1,M,3,m,506,knap heus knap heus knap knap knap,4,word
24544,24544,59,1,C,4,c,438,fovo fovo iest iest fovo fovo fovo,4,nonword
24545,24545,59,1,C,4,c,658,roup roup beel beel roup roup roup,4,nonword
24546,24546,59,0,M,3,c,584,gaaf cent gaaf cent gaaf gaaf gaaf,4,word
24547,24547,59,1,M,6,m,511,daad daad daad berg daad berg daad,4,word
24548,24548,59,1,M,1,m,567,voet voet voet lijn voet voet voet,4,word
24549,24549,59,1,M,7,m,426,viel viel viel gang viel viel gang,4,word
24550,24550,59,1,C,6,c,551,hege hege hege tolp hege tolp hege,4,nonword
24551,24551,59,1,C,7,c,584,faai faai faai heut faai faai heut,4,nonword
24552,24552,59,1,C,4,c,738,wras wras liem liem wras wras wras,4,nonword
24553,24553,59,1,M,3,m,847,dame lukt dame lukt dame dame dame,4,word
24554,24554,59,1,C,2,c,546,luip dote dote luip dote dote dote,4,nonword
24555,24555,59,1,C,2,c,767,telk jang jang telk jang jang jang,4,nonword
24556,24556,59,1,C,2,c,580,eger shik shik eger shik shik shik,4,nonword
24557,24557,59,1,M,5,m,628,hoor hoor hoor eten eten hoor hoor,4,word
24558,24558,59,1,M,7,m,540,boom boom boom duur boom boom duur,4,word
24559,24559,59,1,C,1,c,593,hava hava hava eloe hava hava hava,4,nonword
24560,24560,59,1,M,2,m,581,trok eind eind trok eind eind eind,4,word
24561,24561,59,1,C,5,c,577,hols hols hols preu preu hols hols,4,nonword
24562,24562,59,1,C,4,c,563,bamp bamp foft foft bamp bamp bamp,4,nonword
24563,24563,59,1,M,6,m,486,hals hals hals boer hals boer hals,4,word
24564,24564,59,0,M,2,c,467,kale grot grot kale grot grot grot,4,word
24565,24565,59,1,M,2,m,393,hoek trap trap hoek trap trap trap,4,word
24566,24566,59,0,C,3,m,473,snop reug snop reug snop snop snop,4,nonword
24567,24567,59,1,C,4,c,525,fams fams doon doon fams fams fams,4,nonword
24568,24568,59,1,C,7,c,595,hiet hiet hiet wols hiet hiet wols,4,nonword
24569,24569,59,1,C,7,c,824,puis puis puis bome puis puis bome,4,nonword
24570,24570,59,0,C,1,m,445,dorf dorf dorf jeeg dorf dorf dorf,4,nonword
24571,24571,59,1,C,5,c,394,keed keed keed noft noft keed keed,4,nonword
24572,24572,59,1,M,3,m,434,neen bril neen bril neen neen neen,4,word
24573,24573,59,1,M,2,m,345,dorp jack jack dorp jack jack jack,4,word
24574,24574,59,0,C,2,m,370,drak poem poem drak poem poem poem,4,nonword
24575,24575,59,1,C,7,c,672,kluw kluw kluw rart kluw kluw rart,4,nonword
24576,24576,59,1,C,4,c,603,pans pans kole kole pans pans pans,4,nonword
24577,24577,59,0,C,7,m,437,kril kril kril sted kril kril sted,4,nonword
24578,24578,59,1,M,7,m,417,hulp hulp hulp neer hulp hulp neer,4,word
24579,24579,59,1,M,6,m,469,auto auto auto idee auto idee auto,4,word
24580,24580,59,1,C,7,c,427,asho asho asho krif asho asho krif,4,nonword
24581,24581,59,1,C,6,c,472,book book book deus book deus book,4,nonword
24582,24582,59,1,C,5,c,440,buim buim buim voof voof buim buim,4,nonword
24583,24583,59,1,C,4,c,497,zast zast hong hong zast zast zast,4,nonword
24584,24584,59,1,C,6,c,402,lolk lolk lolk vade lolk vade lolk,4,nonword
24585,24585,59,1,M,5,m,682,chef chef chef klap klap chef chef,4,word
24586,24586,59,0,M,5,c,474,baby baby baby loop loop baby baby,4,word
24587,24587,59,0,M,1,c,427,trof trof trof adel trof trof trof,4,word
